place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Bukchon Hanok Village,South-Korea,https://maps.app.goo.gl/vgpV2GkB3SS1v3zU7,"A traditional village offering insight into rural Korean culture, nestled on a hillside.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Cheomseongdae Observatory,South-Korea,https://maps.app.goo.gl/pikorZGGTBqjPQB8A,"Walk a little further south from the burial site, and you will find the oldest astronomical instrument in the Far East: the .",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Daereungwon Complex,South-Korea,https://maps.app.goo.gl/HAenZ3aXL3W5BNhq9,"Spend a day walking around all the burial sites, such as the , and the ancient temples of Gyeongju while admiring the history of the place.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Dongdaemun Market,South-Korea,https://maps.app.goo.gl/T5QVaBcUJX6Nmt4x7,A metro ride leads to either shopping or visiting the Dongdaemun Design Plaza for cultural and architectural appreciation.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Donggung Palace,South-Korea,https://maps.app.goo.gl/cqvwpCew7QGksbCk8,"At night, visit  and enjoy the beautiful light work and reflection of the temple above the Anapji pond.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Gwangjang Market,South-Korea,https://maps.app.goo.gl/pHnJ78Cr8Mx6WaqJ9,"A food market offering unique culinary experiences, including live octopus, in an urban setting.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Gyeongbokgung Palace,South-Korea,https://maps.app.goo.gl/VN45Qa84GnHMNWSz8,A cultural event with free admission on Children's Day offers relaxation and entertainment amidst nature and family-friendly atmosphere.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Gyeongju,South-Korea,https://maps.app.goo.gl/XwZ4My19XDW9KjTN6,A relaxing retreat after hiking offers cultural experiences amidst historic sites.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Hallasan,South-Korea,https://maps.app.goo.gl/FpzBvPxE85YEbPr78,A challenging hike to a high-altitude mountain with a moderate distance and time commitment.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Hamdeok Beach,South-Korea,https://maps.app.goo.gl/G1PGNzcJuofcMUph9,"Once you are done, make your way back to Jeju. But before you go back, stop at  and enjoy a nice cup of coffee or a beer at Del Mundo Cafe.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Hongdae Street,South-Korea,https://maps.app.goo.gl/XRniXTG5N47C5NkeA,"A family-friendly atmosphere prevails during Children's Day, with a lively street scene in Hongdae offering food and activities for young people.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Insadong,South-Korea,https://maps.app.goo.gl/ZawyCihnLGMpQnkv5,"A cultural event with a parade that leads to a celebration, possibly involving family and community.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Jeju Dongmun Traditional Market,South-Korea,https://goo.gl/maps/9zb4oJETp27oyRJq9,A unique dining experience where fresh seafood is served directly from the market.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
