place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Al-Muizz Street,Egypt,https://goo.gl/maps/gEcmnbD8ZPTNgSDEA,"Not too far from Khan en-Khalili, you will find , one of the oldest streets that dates all the way back to the time the city was founded by the Fatimids in the 10th Century.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Aswan Airport,Egypt,https://goo.gl/maps/Sc1rUT2PeeewxWdK8,By Plane: You can also fly from Cairo to  on one of the six daily flights operated by EgyptAir and AirCairo from 6 AM to 6 PM. The journey will take about 1.5 hours and cost 60 USD per person.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Cairo International Airport,Egypt,https://goo.gl/maps/YYxyKztPyifCY3ad9,"Fortunately, Cairo is one of the largest hubs in the region, and you should have no trouble finding a flight to get from your home country to .",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Hanging Church of Coptic Cairo,Egypt,https://goo.gl/maps/KifkqVKpY3C7AV2s9,"After spending a day on an organized tour, it is time to go off on our own and explore Cairo and its diverse quarters. One of those quarters is the Coptic Cairo district, home to the famous .",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Howard Carter House,Egypt,https://goo.gl/maps/JttmWaSFwPzQTf5R7,This archaeological site offers a glimpse into history and culture for families and adventure seekers.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Karnak Temple,Egypt,https://goo.gl/maps/QtjXhXWjjWdZLZzTA,"A large temple complex near Luxor City, accessible on a budget with affordable transportation options.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Khan el-Khalili,Egypt,https://goo.gl/maps/jFR4trBZpqgx6xn57,"A historic bazaar with ancient charm, offering cultural experiences amidst crowded surroundings.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Luxor Airport,Egypt,https://goo.gl/maps/75SgYR654wHi3f2z9,By Plane: You can also fly from Cairo to  on one of the four daily flights operated by EgyptAir and AirCairo from 6 AM to 5:30 PM. The journey will take about one hour and cost 50 USD per person.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Luxor Museum,Egypt,https://goo.gl/maps/sYZ4JH2VvLga1zDq8,"Located on the East Bank of the Nile,  is where they collect and preserve Ancient Egyptian artifacts discovered here in Luxor, from everyday items to ancient sculptures and even mummies.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Luxor Temple,Egypt,https://goo.gl/maps/zoKUHoa9LrtgxNRo9,"is one of the first temples you will see when you arrive in Luxor. This ancient Egyptian temple complex is located right in the middle of Luxor City, and you can easily pay a visit on foot.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Medinet Habu Temple,Egypt,https://goo.gl/maps/er7Bby5PrzU2pvit6,"This ancient temple offers a glimpse into Egypt's rich culture and history, providing a unique cultural experience amidst nature.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Memnon Dock,Egypt,https://goo.gl/maps/LGBszqAvwBjwgufA9,A boat ride costs approximately 5 EGP per trip and is best timed for sunset viewing.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Memphis,Egypt,https://goo.gl/maps/8npidiDEqhHAFXJAA,"A historic city with cultural significance, offering a glimpse into ancient Egyptian life amidst natural surroundings.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Nubian Museum,Egypt,https://goo.gl/maps/hLFyGeUyN89NiHDL9,"If you are intrigued by the Nubians and their lifestyle and interesting history that stretches all the way back to more than 7,000 BC, then I highly recommend you visit the  in Aswan city.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Nubian Village,Egypt,https://goo.gl/maps/sqZevFm91RaHRSyQA,"A relaxing stroll in a small village surrounded by nature, offering cultural insights and historical learning opportunities.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Philae Temple,Egypt,https://goo.gl/maps/Zv6hEHxon6zL2HRVA,"One of the most well-preserved temples of the Ptolemaic period in Aswan, , will offer you a glimpse of how impressive the temple was when it was constructed more than 2,000 years ago.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Philae Temple port,Egypt,https://goo.gl/maps/kZyPvuGSm3NNydUW9,"Visiting ancient sites like Philae Temple requires planning and budgeting, as hiring a taxi can be costly. Joining an organized tour offers a convenient and potentially cost-effective alternative.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
