place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Abandoned Bobsled Track,Albania,https://goo.gl/maps/MD5Uaan5dVfJEzwu7,"While at the top of Trebević Mountain, be sure to spend some time and walk along the Abandoned Bobsled Track, which was built as a symbol of pride for the city at the time when the Winter Olympics was held in the city in 1984.",,,,2,4,4,8,9,9,0,7,2,7,1,2026-04-07
Alba Carolina Fortress,Albania,https://goo.gl/maps/RiCfttP6UoaDhngy6,"The city's most famous landmark is the Alba Carolina Fortress, a massive star-shaped citadel that was built in the 18th century on the site of a Roman castrum. The fortress is surrounded by high walls, moats, and bastions, and it houses a number of historical buildings and monuments, including the Coronation Cathedral, where Romanian kings were crowned in the 19th and early 20th centuries.",,,,4,5,8,4,5,10,0,6,4,7,1,2026-04-07
Albanian Alps,Albania,https://goo.gl/maps/xLXRYXavhYrQJ4fj8,"""I cannot believe I am in Albania"" is a sentence I found myself repeating many times when I was hiking along the popular Theth-Valbona hiking trail in the Albanian Alps.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Alyosha Monument,Albania,https://goo.gl/maps/DLp9dM994MUgGLDXA,"After spending a day exploring Plovdiv, it is time to find a nice viewpoint to watch the sunset and there is no better place to do that than from Alyosha Monument, a massive 1950s statue of a Soviet soldier, stands at the top of Bunardzhika Hill towering over the entire city.",,,,5,5,4,10,6,8,1,7,0,4,1,2026-04-07
Ancient Theatre of Philippopolis,Albania,https://goo.gl/maps/JJxzJEfN6mwGZS7f9,"One of the most popular tourist attractions you should check out first is the Ancient Theatre of Philippopolis, a well-preserved ancient amphitheater located in the heart of Plovdiv's Old Town, built in the 2nd century AD during the Roman Empire's rule of the city, and it is believed to have been one of the largest and most magnificent theaters in the Balkans.",,,,2,4,4,2,4,10,0,5,4,10,1,2026-04-07
Antigoni Restaurant,Albania,https://goo.gl/maps/Kpr9kJCRoFkEARcd9,"Antigoni Restaurant is an Albanian restaurant that serves traditional dishes like fergese, qoftë (meatballs), stuffed peppers, and eggplants at a very affordable price and offers a 5-star view of Berat Old Town.",,,,3,6,12,0,2,9,7,6,8,8,1,2026-04-07
Archaeological Museum of the Republic of Macedonia,Albania,https://goo.gl/maps/WfikSVYd2VSQYcax8,"Other museums like the Archaeological Museum of the Republic of Macedonia and Museum of the Republic of Macedonia are also worth a visit as well if you are interested to learn more about the less gloomy history of North Macedonia so for history buffs out there, be sure to check some of these museums out while you are in Skopje.",,,,0,2,8,0,1,9,0,1,1,3,1,2026-04-07
BBQ Tanjga,Albania,https://goo.gl/maps/UR3534h4QgT6QBEj7,"After sunset, you can make your way down and eat some delicious local cuisine at BBQ Tanjga, a local bbq restaurant serving all kinds of dishes ranging from a cheap and delicious cevapi to a full-blown meat platter with all kinds of deliciously cooked meat, grilled vegetables, and more.",,,,1,2,8,0,1,8,10,5,6,3,1,2026-04-07
Baptisterium,Albania,https://goo.gl/maps/RykRKerMUBs33vad7,"Not too far from the basilica, you will also find a Baptisterium, one of the largest Paleochristian buildings of its type, where you will be able to take a peek at the well-preserved mosaic pavement.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bay 1 in the airport's parking lot,Albania,https://goo.gl/maps/a1eFyN5sG3wgdYp39,"The bus operates from 7 AM - 12 AM and costs 300 LEK, while the journey will take about 40 minutes. The bus leaves from Bay 1 in the airport's parking lot, and you will be dropped off at Rinas Airport Bus Stop by the Shatervan Park. This is also where you will have to be if you want to get a bus back to the airport, so remember this bus stop.",,,,0,0,8,2,2,0,0,3,5,10,1,2026-04-07
