place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
A Famosa fortress,Vietnam,https://goo.gl/maps/ykxgKbuvRopsf6BW7,"There are several colonial structures scattered throughout Melaka such as the , the St. Paul's church, and many museums dedicated to telling the story of Melaka Kingdom before, during, and after the colonial times.",,,,2,2,2,0,1,10,0,1,2,4,1,2026-04-03
An Bang Beach,Vietnam,"https://www.google.com/maps/place/An+Bang+Beach,+Hoi+An,+Qu%E1%BA%AFng+Nam,+Vietnam/","It’s only two miles outside of Old Town. You’ll find countless little paths winding down to places to have a drink. Claim a seat with a good view, sample some Vietnamese beer, and linger until sunset.

If you are tired of the bustling old town, you can also spend a day relaxing by , a 4-km strip of sandy beach only a few minutes' bike ride away from Hoi An Old Town.",Hoi An,beach,The Blonde Abroad,5,4,7,7,4,6,6,8,4,4,2,2026-04-03
Ancient Town,Vietnam,"https://www.google.com/maps/place/Ancient+Town,+Hoi+An,+Qu%E1%BA%AFng+Nam,+Vietnam/",Hoi An’s Old Town will be the highlight of any trip. Snap pics of the colorful buildings and glowing lanterns as you make your way to the sixteenth-century covered Japanese bridge. Stroll along the river and find the perfect souvenir at one of the local shops.,Hoi An,historic site,The Blonde Abroad,4,4,2,8,5,10,1,6,1,3,1,2026-04-03
Angkor Wat,Vietnam,https://goo.gl/maps/TFC4ZffMs8dcQLxk9,"My suggested itinerary for your tuk-tuk driver would be to start with the sunrise trip in , where you will get your entry ticket. The ticket will cost you 37 USD (as of 2019) for a single day entry per person, and you will get access to  and all the other temples around the area.",,,,1,2,6,4,8,7,1,5,6,8,1,2026-04-03
Anh Mâp Restaurant,Vietnam,https://maps.app.goo.gl/6VFWjLatPXKYX81q9,"One of the beauties of exploring a city like Ho Chi Minh City is that if you take the time to wander its vibrant streets and alleyways, you might stumble upon a small, family-run restaurant serving delicious local dishes at local prices. And that's exactly what  is.

After sunset, you can take a taxi back to the City Center and hang out around Pham Nhu Lao district, where all the awesome restaurants are. If you want a really local place to eat dinner, you can check out , Bánh Mì Bà Huynh, or Pho Hung. You can't go wrong with any of these restaurants, really.",,,,2,3,3,2,0,7,8,6,6,6,2,2026-04-03
Anio Boutique Hotel Hoi An,Vietnam,https://www.google.com/maps/place/Anio+Boutique+Hotel+Hoi+An/,"is the perfect oasis. They offer a free shuttle to get you where you need to go and bikes for when you’re just looking to explore. With a super attentive staff and all the good stuff like an oversized pool, fitness center, bar, and restaurants, it’s a good place to just chill.",Hoi An,hotel,The Blonde Abroad,6,7,6,6,5,6,6,10,7,6,1,2026-04-03
Ao Nang,Vietnam,https://goo.gl/maps/efg7vuCarGsfJrUU6,"You have 2 options on what to do in Krabi. You can either choose a day of relaxation and spend your time at  or Railay Beach, have a foot massage and take it slow.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Ayer Itam Assam Laksa,Vietnam,https://goo.gl/maps/29Pouc8bVwXVEi9T9,"Right around the corner of the Kek Lok Si temple complex is a famous Laksa food stall called . You have to try it out as supposedly, it is the best place to eat Laksa in Penang. Also, try the sugarcane juice while you are at it.",,,,0,3,4,0,0,8,10,7,6,6,1,2026-04-03
Ba Mu Temple,Vietnam,https://goo.gl/maps/hCc55FFJ4LEPUR7U9,is a newly reopened but old temple complex known for its elaborate three-entrance gate design. The gate was originally constructed in the 17th Century elsewhere and has since been moved here and renovated.,,,,4,3,2,1,2,10,0,7,3,8,1,2026-04-03
Ba Na Hills,Vietnam,https://www.google.com/maps/place/Ba+Na+Hills,"I would definitely love to spend more time exploring southern Vietnam in the future. I’d love to return to Vietnam one day to cruise the Mekong Delta, visit the My Son Sanctuary and explore Ba Na Hills.",Central,Hills,The Blonde Abroad,3,3,4,9,8,4,1,6,3,4,1,2026-04-03
Ba Vi National Park,Vietnam,https://www.google.com/maps/place/Ba+Vi+National+Park,You can also take day trips to beautiful destinations like Ninh Binh and Ba Vi National Park if you’re looking for more natural beauty and an escape from the bustle of the city.,North,National Park,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Bai Dinh Pagoda,Vietnam,https://goo.gl/maps/yQSC7gGyqb5og3Yp7,"is a massive temple complex in Ninh Binh that spans over 700 hectares, making it the largest temple complex in Vietnam and one of the largest in Southeast Asia.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Bai Tu Long Bay,Vietnam,https://www.google.com/maps/place/Bai+Tu+Long+Bay,"Cruising Bai Tu Long Bay on Dragon Legend 3-Day Homestay Tour in Sapa, Vietnam

Cruising Bai Tu Long Bay on Dragon Legend

Cruising Bai Tu Long Bay on Dragon Legend, the stunning islands of Bai Tu Long Bay, Vietnamese landscapes, fishing villages, caves, and dramatic shorelines.",North,bay,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,4,2026-04-03
Bako National Park,Vietnam,https://goo.gl/maps/K5GyjvKC2FyVVyNK7,"You can also spend 2 days in , located not too far from Kuching, where you will be able to see the long-nosed monkeys and other kinds of animals like boars and insects in their habitat.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Ban Ho,Vietnam,https://www.google.com/maps/place/Ban+Ho/,"A village at the base of the mountain where the author stayed with a family in a beautiful old wooden home, surrounded by stunning rice fields.",North,village,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Banh My Phuong,Vietnam,https://www.google.com/maps/place/Banh+My+Phuong/,"Anthony Bourdain filmed an episode of “No Reservations” at Banh My Phuong and, of course, it became an instant legend.",Hoi An,restaurant,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Batu cave,Vietnam,https://goo.gl/maps/jWcCkoUU8JSc2y1d7,"One of those religious sites that you should visit is the , located a 45-minute train ride away from Kuala Lumpur.  is a sacred Hindu temple located magnificently inside a limestone mountain. In front of the cave is the 43m high golden statue of Lord Murugan.",,,,3,6,2,9,4,10,0,7,1,7,1,2026-04-03
Ben Thanh Market,Vietnam,https://goo.gl/maps/vaqf6YwdSZ4JUaFd9,"is a bustling market located in this old-school brutalist-style structure that is filled to the brim with people and shops selling all kinds of stuff, from coffee beans to t-shirts and more.

If you would like to experience a local market in Ho Chi Minh City, you can check out the . Personally, the experience I had here was not the best as we were shouted at by the vendors in the market for standing in front of their stores without buying. That said, the architecture is quite nice from the outside and it isn't too far from the main tourist area (Pham Ngu Lao street).

is a market that a lot of people recommend visiting, but for me, the experience was not as fun as it sounds. We were shouted at by the vendors in the market for standing in front of their stores without buying. That said, the architecture is quite lovely from the outside, and it isn't too far from the main tourist area (Pham Ngu Lao Street).",,,,4,4,7,5,3,8,5,7,6,7,3,2026-04-03
Bich Dong Pagoda,Vietnam,https://goo.gl/maps/UAG6GbJDn2EKFaDW6,"You can also hire a boat and explore the Tam Coc River up close, as well as visit some of the most stunning mountain temples in the region, like the , where you will find an ancient tiered pagoda nestled into a mountainside.

is an ancient tiered pagoda nestled between the limestone mountains in Ninh Binh, and it is one of the most scenic places in the area.",,,,4,5,7,8,7,8,2,6,2,4,2,2026-04-03
