place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
1024 mountain road,Thailand,https://maps.app.goo.gl/swm4RpB9kEZdu7N67,"First thing in the morning, I highly recommend you take the  and drive around the countryside of Phrae, before taking the 1342 highway back down and merge with the main highway to get to Nan.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
150 Million Year Old Stone Shell Museum,Thailand,https://maps.app.goo.gl/zNNyZGQmPCNnDrjT8,"Not many people know this, but many dinosaur fossils in Thailand have been discovered in this area of Isaan, stretching from Nong Bua Lamphu to Khon Kaen and Kalasin. One museum that houses a collection of these fossils and is worth a visit is the , located just off the highway between Nong Bua Lamphu and Udon Thani.",,,,1,5,12,10,8,6,1,5,5,10,1,2026-04-07
3000 Bok,Thailand,https://maps.app.goo.gl/GAGXXE26Y3PEsF166,"After you are done with Ubon Ratchathani, the next day, you can start your journey from Khong Chiam and make your way to , one last attraction in Ubon Ratchathani to visit before we make our way across the province line into Amnat Charoen.",,,,0,0,4,0,0,0,0,0,0,2,1,2026-04-07
AJ Car Rental,Thailand,https://maps.app.goo.gl/WFHoLi3orELtPh439,"Once you arrive, you can rent a car from the airport and drive to Roi Et City, which should take about 30 minutes. There are a few car rental places at the exit terminal of the airport like , so you can pick one from there, or you can rent a car through DiscoverCars.",,,,0,0,8,0,0,0,0,0,1,8,1,2026-04-07
Aew Kai Pan,Thailand,https://maps.app.goo.gl/A4CGKqDoqMhknqy29,"If you’re looking for a place to have an early breakfast before exploring Roi Et, you might want to check out , a local breakfast spot that has been serving traditional dishes for generations. They offer favorites like congee, Khai Grata (fried egg on a pan), omelettes, and other Thai-style breakfast items, all at affordable prices.",,,,1,3,12,0,1,8,10,5,8,8,1,2026-04-07
Aim Oat,Thailand,https://maps.app.goo.gl/cJt18f3MWWNgRGkf8,"If you're looking for a place to enjoy a local breakfast, check out , a popular restaurant serving traditional Thai-Vietnamese breakfast dishes like ""khai krata"" (fried egg in a pan), noodle soup, Vietnamese-style baguettes, and more.",,,,0,3,8,0,1,8,9,4,8,7,1,2026-04-07
Airplane Park,Thailand,https://maps.app.goo.gl/MsWb1ZFrB9wyVu5YA,"You might also want to check out , which is exactly as the name suggests, a park with an unused 747 airplane parked in the middle of it. There are cafes and restaurants nearby where you can take a break. At sunset, you can go up Skydeck Tower for a lovely view of the city. It's located inside Terminal 21 Korat shopping mall and entry is free!",,,,2,3,8,9,7,0,0,8,4,7,1,2026-04-07
Alongkorn Chedi,Thailand,https://maps.app.goo.gl/yLYPpsH9Ux79L9rQ6,"Not too far from the pyramid, you will also find , a beautiful moss-covered pagoda in the middle of the forest, built during the reign of King Rama V in the late 19th century.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Amphawa,Thailand,https://g.page/amphawa?share,"There are several floating markets in Thailand you can visit, and two of the most popular ones are  and Damnoon Saduak floating markets. They are the most photogenic but also the most crowded, so be sure to set your expectations accordingly.",,,,3,5,8,2,5,8,7,6,7,5,1,2026-04-07
Ancient Siam,Thailand,"https://www.google.com/maps/place/Ancient+Siam,+Bangkok,+Thailand","Established in 1972, the Ancient Siam or Ancient City is a large, outdoor museum park shaped to reflect the map of Thailand and has beautiful representations of the country's oldest and most sacred buildings.",Central Thailand,Museum,The Blonde Abroad,4,6,4,3,3,10,0,7,5,7,1,2026-04-07
Ang Ka Nature Trail,Thailand,https://goo.gl/maps/uF5XTa9bp37WCehq8,"After Pha Chor, you can head up to Doi Inthanon National Park straight to the top and hike the easy  through the beautiful mossy forest and take a photo with the ""Top of Thailand"" sign.

Once you are done exploring Mae Ya Waterfall, it is time to go up to the top of Doi Inthanon. It is a long, steep, winding road, so be extra careful and patient. Once you arrive, go and hike the easy  through the beautiful mossy forest and take a photo with the ""Top of Thailand"" sign.",,,,4,6,12,8,7,4,3,6,4,5,1,2026-04-07
Ang Kaew Reservoir,Thailand,https://goo.gl/maps/Qk1Yq4znbxdio1Nn8,"After a whole day of exploring temples, it is time to take a break and enjoy the nature of Chiang Mai. At the foothill of Doi Suthep, within the vicinity of Chiang Mai University, you will find , a massive body of water surrounded by beautiful vegetation and forest.",,,,5,5,8,10,6,1,0,8,0,7,1,2026-04-07
Ang Thong National Marine Park,Thailand,https://www.google.com/maps/place/Ang+Thong+National+Marine+Park,"Ang Thong National Marine Park is an archipelago of 42 islands that feature Thailand’s iconic limestone mountains, white-sand beaches, and exotic and endangered wildlife.

a group of 42 paradise islands, can be visited on a day trip from Koh Samui

This is a group of 42 paradise islands in the Gulf of Thailand, and it’s easy to visit on a private day trip from Koh Tao or Koh Samui / Koh Phangan. The ultra scenic panorama viewpoint at Mu Ko Ang Thong should be reason enough to go.",Koh Samui,National Park,The Blonde Abroad,5,5,16,8,7,3,2,7,4,6,1,2026-04-07
Ao Khung Kraben Forest Park,Thailand,https://maps.app.goo.gl/9p9pcnNzmCAaZ4xe9,"Located on the opposite side of the bay, you will find , a rich and beautiful mangrove forest with several walking paths where you can stroll around in solitude.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Ao Krathing Beach,Thailand,https://maps.app.goo.gl/5xfmHtGdzgURyCiq7,"is, hands down, the best beach in Chantaburi, in my opinion. The beach is located inside Khao Laem Sing Forest Park, tucked behind a cape on a remote shore of Chantaburi. It is the perfect place to visit if you are looking for a quiet beach to relax for a few hours.",,,,7,5,4,8,3,0,0,8,0,7,1,2026-04-07
Ao Leuk Beach,Thailand,https://www.google.com/maps/place/Ao+Leuk+Beach,"Ao Leuk Beach is one of the busier beaches in Koh Tao, but it has perfect sand and turquoise water, and it’s not too remote. There is a restaurant and resort at the beach if you want to stick around longer.",Gulf of Thailand,Beach,The World Travel Guy,5,4,4,8,3,0,0,8,3,9,1,2026-04-07
Ao Nang,Thailand,https://www.google.com/maps/place/Ao+Nang,"The scenery at Railay is absolutely breathtaking, and you can reach this beach quite easily from the nearby town of Ao Nang.

started off the day early in Aonang

The nearby town of Ao Nang.",Krabi,town,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Ao Phra Nang Beach,Thailand,https://www.google.com/maps/search/ao+phra+nang+beach+krabi,"Ao Phra Nang is one of the most epic beaches in Asia, so of course it belongs on a list of the best things to do in Krabi Thailand! This one has huge rock towers on either end of the beach and a big limestone cave to explore on the south end. Phra Nang can be reached on a short 5 minute walk from East Railay Beach.",Krabi,beach,The World Travel Guy,4,5,0,10,8,3,1,7,3,7,1,2026-04-07
Ao Phrao Beach,Thailand,https://maps.app.goo.gl/EbTUy2v9VYiCDWCV7,"Out of all the beaches I visited on Koh Kood,  is, hands down, the best beach to visit. I highly recommend finding a resort near this beach so you will have access to it anytime you like.

, for example, is one of my favorite beaches on the island. It is situated in the southernmost part of the island and is one of the longest and most spacious beaches in Koh Kood, spanning about 1 km along its southwestern coastline.",,,,6,6,12,8,5,4,3,8,4,7,1,2026-04-07
Ao Tanote Beach,Thailand,https://www.google.com/maps/place/Ao+Tanote+Beach,"Tanote is one of the nicest beaches on the east side of Koh Tao island. The views and snorkeling are some of the best, and the beach is never crowded! When snorkeling around Ao Tanote, you can expect to see some good fish and corals, baby sharks, and maybe even manta rays.",Gulf of Thailand,Beach,The World Travel Guy,3,6,8,9,8,0,0,8,4,10,1,2026-04-07
Ao Tapao Beach,Thailand,https://maps.app.goo.gl/Knsx42XRbrvkxbWZ6,"Last but not least, if you are already bored at Ao Prao Beach and want a little change in scenery, there are several other beaches you can explore like , White Beach, and Bang Bao Beach.

and Bang Bao Beach are also good, but you have to walk through resorts to get there, and they don't feel as open as Ao Prao Beach due to their smaller sizes, especially with all the people staying and chilling at those resorts. They still have all the qualities of great beaches but just not as great as Ao Prao Beach.",,,,6,5,12,7,4,3,3,6,3,4,1,2026-04-07
Ao Yai Fisherman Village,Thailand,https://maps.app.goo.gl/ppaWTbZ195zkUTZHA,"If you wonder why most attractions are on the west coast of the island, well wonder no more, as I will be taking you to the east coast and visiting , home to a small fishing community with the best seafood restaurant on the island.",,,,1,2,8,7,5,8,10,7,9,5,1,2026-04-07
Aow Leuk Resort,Thailand,https://www.google.com/maps/place/Aow+Leuk+Resort,There is a restaurant and resort at the beach if you want to stick around longer. Beach access is through the Aow Leuk Resort.,Gulf of Thailand,Hotel,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Aow Thammachat,Thailand,https://maps.app.goo.gl/nexd2u4CJRwuzno36,"To get to Ko Chang, you can take a bus or rent a car and drive straight from Bangkok to  in Trat, where you can take the ferry across to Koh Chang. The drive should take about 4 hours, and the ferry should take about 20 minutes.

Koh Chang is the largest island of the three, and it is the closest to the mainland of Trat, which makes it the easiest island to visit, taking only about 20 minutes on a 100-THB ferry from . Koh Chang is also the only island where you can take your car/motorbike across, making it the most convenient of all.",,,,2,4,6,9,8,4,2,8,8,9,1,2026-04-07
Apiwat Central Train Station,Thailand,https://maps.app.goo.gl/2b3BvDqyWhwGC6hF8,"By Train: There is also a sleeper train that leaves from  in Bangkok. The price ranges from 1,000 - 1,200 THB and takes around 10 hours. You can find the schedule and book online here.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Aroy One Baht Restaurant,Thailand,https://goo.gl/maps/3RKsaApoFWohWTr9A,"If you are looking for a great place to have dinner, consider checking out . It's an old-style restaurant located inside a two-level wooden house, offering a variety of delicious dishes that you can enjoy with Thai-style rice soup. For nightlife, locals like to gather at Rgong Garden, an open-space area surrounded by pubs, restaurants, and a beer garden for you to choose from.",,,,1,4,8,1,0,7,10,7,8,7,1,2026-04-07
Asia Saiyok Express Bus Company office,Thailand,https://goo.gl/maps/SV2xk3XFCxtEwmX57,"To get from Kanchanaburi to Sangkhlaburi, you will have to get to the , located right behind the Kanchanaburi Bus Terminal. From there, you can buy a ticket to Sangkhlaburi.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Aukotan Place,Thailand,https://www.google.com/maps/place/Aukotan+Place,"The price was $25 USD for a big double room with cold A/C, hot shower, and good WiFi. This hotel includes free buffet breakfast even though it’s not mentioned on Booking.com. They also give a free daily transfer to and from the pier, and Sairee Beach, which was super handy, and they have scooter rentals for a good price.",Koh Tao,hotel,The World Travel Guy,3,3,16,5,3,2,3,7,4,7,1,2026-04-07
Ayutthaya,Thailand,https://www.google.com/maps/place/Ayutthaya,"Ayutthaya is the former capital of Thailand and can be accessed as a day trip from Bangkok, on an organized trip if you’d rather not make the journey alone. There are ancient ruins, Buddhist temples, and fabulous scenery which will take your breath away.",Central Thailand,historical site,The Blonde Abroad,3,5,8,5,6,10,2,7,2,7,1,2026-04-07
Ayutthaya Historical Park,Thailand,https://www.google.com/maps/place/Ayutthaya+Historical+Park,"The Ayutthaya Historical Park has lots of old temples and palaces to see, and two museums. You can get around in the park by walking, since most of the best things to see in Ayutthaya are located pretty close together. Another fun way to get around is by bicycle or tuk tuk, which you can rent nearby. Most people come here to see the old statues and Ayutthaya ruins, which can be pretty fascinating!",Ayutthaya,Historical Park,The World Travel Guy,2,4,4,4,6,9,0,6,3,9,1,2026-04-07
Ayutthaya ruins,Thailand,https://www.google.com/maps/place/Ayutthaya+Ruins,"fascinating, easy to visit on a day trip from Bangkok",Bangkok,ruins,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Ba Ya Desserts,Thailand,https://goo.gl/maps/n38FsL5N6GqwWPeNA,"If you are looking for a local dessert to try at night, I highly recommend you check out , a popular dessert street side stall that serves delicious Thai desserts like sticky rice and black beans with coconut milk, Thai grass jelly, and Red Ruby dessert, all of which are to die for. You will often see many locals waiting in line here so be sure to drop by and try them out. They are open from 6 PM to 12 AM every day except on Sundays.",,,,1,3,8,0,1,7,10,5,9,7,1,2026-04-07
