place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Angkor Thom Gate,Cambodia,https://www.google.com/maps/place/Angkor+Thom+Gate/,"a gate on the south side of the Angkor Thom temple complex, right next to Baksei Chamkrong, in poor shape, but you can still drive or walk through it, so it makes for some cool photo ops.",Siem Reap,gate,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Angkor Wat,Cambodia,https://www.google.com/maps/place/Angkor+Wat/,"Angkor Wat was built between 1113 and 1150 and is the largest religious monument in the world. Half of all tourism to Cambodia is credited to international tourists wanting to visit Angor Wat.

The main attraction being the awe-inspiring ancient temples of Angkor Wat.

get a full day in at Angkor Wat in the morning",Siem Reap,temple,The Blonde Abroad,4,5,14,6,6,6,3,6,4,5,1,2026-04-07
Baksei Chamkrong,Cambodia,https://www.google.com/maps/place/Baksei+Chamkrong/,"small, barely known pyramid temple near Angkor Thom, a hidden gem!

A small, barely known pyramid temple near Angkor Thom. You might have to ask your driver to stop here, because most tours don’t include it in the normal itinerary. This Cambodia temple is a hidden gem!",Siem Reap,temple,The World Travel Guy,4,5,14,6,6,8,2,6,4,6,1,2026-04-07
Banteay Kdei,Cambodia,https://www.google.com/maps/place/Banteay+Kdei/,"Banteay Kdei is known as the Citadel of Monks.

more incredible trees and temples, the tree roots at Banteay Kdei are absolutely massive, and they’re taking control of the buildings.",Siem Reap,temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Banteay Samré,Cambodia,https://www.google.com/maps/place/Banteay+Samr%C3%A9/,Banteay Samré (named after the ancient people of Indochina),Siem Reap,temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Banteay Srei,Cambodia,https://www.google.com/maps/place/Banteay+Srei/,Banteay Srei (the jewel of Khmer art),Siem Reap,temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bantei Srei Temple,Cambodia,https://www.google.com/maps/place/Banteay+Srei+Temple/,"a 1 hour drive from Siem Reap, but it can be combined with a grand/small circuit tour if you pay your driver a bit extra, the red sandstone colors are nice, and it’s known for having some of the best stone carvings out of all the Khmer temples.",Siem Reap,temple,The World Travel Guy,3,2,4,3,3,8,0,7,4,7,1,2026-04-07
Bayon,Cambodia,https://www.google.com/maps/place/Bayon/,"Bayon was one of my favorite temples. Its unique construction features a number of smiling stone faces on its towers. There’s a (not-so-secret) spot here where you can get a photo touching noses with one of the statues.

one of the most important temples in Angkor Thom, and it has some of the best wall carvings in the area, famous stone faces that you’ve probably seen in lots of Cambodia photos.",Siem Reap,temple,The Blonde Abroad,4,5,12,6,5,8,2,6,3,5,1,2026-04-07
Beng Mealea,Cambodia,https://www.google.com/maps/place/Beng+Mealea+Temple/,"a remote temple you can visit on the way back to Siem Reap, the temple is mostly ruined, but that’s part of what makes it cool!

A temple that is about 1.5 hours drive from Siem Reap, and it can be combined with Koh Ker as a full day trip. The temple is mostly ruined, but that’s part of what makes it cool!",Siem Reap,temple,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bugs Cafe,Cambodia,https://www.google.com/maps/place/Bugs+Cafe/,"serves fried tarantulas, scorpions, and other bugs to eat, started by a French expat and a Khmer chef, a fusion of local culture as well as the influx of tourism.

A restaurant in Siem Reap where you can eat a tarantula.",Siem Reap,restaurant,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Cambodia,Cambodia,https://www.google.com/maps/place/Cambodia,"Cambodia is one of the few Asian countries that boasts a fairly constant climate year-round, making it a year-round destination.",Southeast Asia,country,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Cardamom Mountain,Cambodia,https://www.google.com/maps/place/Cardamom+Mountain,Visit Cardamom Mountain's jungle or float down on the river on the outskirts of Kampot during these months as the weather is perfect.,Southeast Asia,mountain,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
East Mebon,Cambodia,https://www.google.com/maps/place/East+Mebon/,"East Mebon (used to be on a manmade island)

the temple is not in great shape, but the highlight here would have to be the elephant statues in each corner of the temple.

This temple is not in great shape compared to some of the others in Cambodia, but the highlight here would have to be the elephant statues in each corner of the temple.",Siem Reap,temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Emerald Palace loop,Cambodia,https://www.google.com/maps/search/Emerald+Palace+loop+Kampot+Cambodia,The owner of Les Manguiers suggested I take a boat up the river and get dropped off with a kayak to paddle my way down through the Emerald Palace loop and to make a stop at a café on the riverside. The entire kayak trip felt like I was in the Jungle Book as I paddled through the lush tropical loop.,Kampot,attraction,The Blonde Abroad,5,4,12,10,10,3,2,8,6,6,1,2026-04-07
Epic Arts Center,Cambodia,https://www.google.com/maps/search/Epic+Arts+Center+Kampot+Cambodia,"The Epic Arts Center was developed for local disabled children as a haven to establish their own community and receive artistic education. The owner's daughter Marie led us to the center and we had a full day of arts, crafts and got to enjoy a performance by the kids.

The Epic Arts Center was just a short bike ride away so the owner’s young daughter, Marie, led me and an Australian family staying at the guesthouse into town. The Epic Arts Cambodia Center was developed for local disabled children as a safe haven to establish their own community and receive artistic education. Once we arrived at the center, we participated in several workshops set up by the children, painted, learned some sign language, and even some dance routines. The local children who participate in the Epic Arts programs are taught gardening, crafting, dancing, painting, and music. Arts and crafts taught by the children After all of the workshops finished up, a snack of local fruits and nuts was served, and then the children got ready to put on a performance. A group of deaf children put on multiple modern and interpretive dance performances, while another group of deaf boys danced, juggled, and performed a comedic skit with stunts, and another group of blind children played their instruments beautifully. Snack time! I was completely awestruck during the whole performance. I was laughing and almost crying by the end of it. The children were so talented and so happy. It was very apparent that Epic Arts had created a place where the children could feel a part of something very special, with other children they could relate to, without the burdens of a society that would normally make them feel outcast.",Kampot,art center,The Blonde Abroad,3,6,10,3,6,8,2,8,8,7,1,2026-04-07
Jasmine Valley Jungle Eco-Resort,Cambodia,https://www.google.com/maps/search/Jasmine+Valley+Jungle+Eco-Resort,"The resort features solar-powered accommodation, healthy, home-grown foods, the sound of the Cambodian jungle, magnificent views across islands to Vietnam, and the sweet fragrance of jasmine and jungle blossom. The owner, Owen, and his beautiful wife, Jasmine, keep the resort running using as few resources as possible. It’s the perfect “off-the-grid” accommodation for travelers to relax, completely.",Kep,hotel,The Blonde Abroad,7,7,12,8,6,6,4,9,7,3,1,2026-04-07
Kampot,Cambodia,https://www.google.com/maps/search/Kampot,"A small French-Cambodian town in the south of Cambodia.

Visit Cardamom Mountain's jungle or float down on the river on the outskirts of Kampot during these months as the weather is perfect.",South,town,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Kampot River,Cambodia,https://www.google.com/maps/search/Kampot+River+Cambodia,"The area is just outside of Kampot and sits on the Kampot River. It is absolutely beautiful! Driving through the Rice Fields, I decided to spend my morning kayaking. The owner of Les Manguiers suggested I take a boat up the river and get dropped off with a kayak to paddle my way down through the Emerald Palace loop and to make a stop at a café on the riverside.

The area is just outside of Kampot and sits on the Kampot River. It is absolutely beautiful! Driving through the Rice Fields, the river houses of Kampot, and stopping to soak up some sun.",Kampot,river,The Blonde Abroad,4,4,14,8,7,4,3,6,4,6,1,2026-04-07
Kep,Cambodia,https://www.google.com/maps/search/Kep,"Kep was once Cambodia’s most popular and prestigious beach destination for the French and Cambodian elite. But, after decades of civil war, the town is now haunted by the abandoned remains of old French villas. While much of Kep was destroyed during the Khmer Rouge days, some of the charm still remains. The national park, an island archipelago, beautiful beaches, fresh crab, and world-famous black pepper are just some of the reasons to visit Kep.

Kep is only 30 minutes from the Vietnamese border so I'll hopefully be moving on to Vietnam the day after next. I had such a wonderful time in Kampot and can't wait to see Kep tomorrow!

Kep is only 30 minutes from the Vietnamese border so I'll hopefully be moving on to Vietnam the day after next. Louise gave me some advice on traveling in Vietnam and where to stay tomorrow night in Kep.",South,beach town,The Blonde Abroad,3,3,14,4,4,4,3,5,4,7,1,2026-04-07
Kep Crab Market,Cambodia,https://www.google.com/maps/search/Kep+Crab+Market,"The market is famous for its fresh crab and is a must-visit when in Kep. The view from the market is absolutely surreal, with the sea air blowing through your hair and the sound of waves crashing onto the shore.",Kep,market,The Blonde Abroad,5,5,4,9,5,4,2,9,3,3,1,2026-04-07
Khmer Grill,Cambodia,https://www.google.com/maps/search/Khmer+Grill+Siem+Reap,"Khmer Grill is a restaurant that serves normal cuisine, with options like $1 beef kabobs. The restaurant is a great place to get a bona fide meal after trying the bug-based dishes at The Bugs Cafe.",Siem Reap,restaurant,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Koh Ker Temple,Cambodia,https://www.google.com/maps/place/Koh+Ker+Temple/,"a group of remote temples about 2.5 hours drive from Siem Reap, the main building is a 7-tier pyramid in the forest, and a stairway leads to the top where you can get a nice view of the whole area.",Siem Reap,temple,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
