place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Barcelona,Spain,https://www.google.com/maps/place/Barcelona,"known for the cathedrals, pickpocketing and theft are notoriously common, practice situational awareness and keep your hands in your pockets if you're sitting on a train or in any other place with lots of people",Northern Spain,City,The World Travel Guy,1,1,4,1,4,4,0,3,1,3,1,2026-04-03
Barceloneta Beach,Spain,https://www.google.com/maps/place/Barceloneta+Beach,"The hotel is located in the Gothic district of Barcelona, just a short walk from the cathedrals, restaurants, beach, and Plaza Cataluña Square.",Catalonia,beach,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Catedral de Barcelona,Spain,https://www.google.com/maps/place/Catedral+de+Barcelona,The famous Catedral de Barcelona and Santa Maria Del Mar were just a 5 minute walk from the hotel!,Catalonia,cathedral,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Guesthouse Barcelona Gotic,Spain,https://www.google.com/maps/place/Guesthouse+Barcelona+Gotic,"I stayed at Guesthouse Barcelona Gotic in a private room for $54 USD per night. The hotel is located in the Gothic district of Barcelona, just a short walk from the cathedrals, restaurants, beach, and Plaza Cataluña Square.",Catalonia,hotel,The World Travel Guy,5,4,6,6,5,8,5,10,7,6,1,2026-04-03
Madrid,Spain,https://www.google.com/maps/place/Madrid,"capital of Spain, can have cold winters",Central Spain,City,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Montserrat,Spain,https://www.google.com/maps/place/Montserrat,Montserrat is a natural park in northern Spain with one of the best mountain ranges in the whole country. It’s also the location of an old Catholic monastery from the 11th century that you can still go inside today. The sights in this park are awesome! The name Montserrat means ‘serrated mountain’ and it comes from the jagged shape of the mountain peaks when you look at them from a distance.,Catalonia,natural park,The World Travel Guy,3,5,2,10,8,6,0,8,1,7,1,2026-04-03
Montserrat Monastery,Spain,https://www.google.com/maps/place/Montserrat+Monastery,"The Catholic monastery at Montserrat Spain is from the 11th century, and the inside is awesome. The ceiling of the basilica is really impressive, and there’s even a huge pipe organ inside that dates from the 1800s. It’s free to go inside the monastery, and photos are allowed in most rooms.",Catalonia,monastery,The World Travel Guy,4,4,2,0,0,10,0,7,5,8,1,2026-04-03
Montserrat Museum,Spain,https://www.google.com/maps/place/Montserrat+Museum,Montserrat has a small museum that includes some pieces from well known artists like Monet and Picasso. The entrance fee for the museum is €7.,Catalonia,museum,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Montserrat National Park,Spain,https://www.google.com/maps/place/Montserrat+National+Park,"a natural park in northern Spain with one of the best mountain ranges in the whole country, location of an old Catholic",Northern Spain,National Park,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Palma de Mallorca,Spain,https://www.google.com/maps/place/Palma+de+Mallorca,"one of the three main airports in Spain, has direct international flights from many countries in Europe and beyond",Island of Mallorca,City,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Plaza Cataluña Square,Spain,https://www.google.com/maps/place/Plaza+Cataluña+Square,"The hotel is located in the Gothic district of Barcelona, just a short walk from the cathedrals, restaurants, beach, and Plaza Cataluña Square.",Catalonia,square,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
Santa Maria Del Mar,Spain,https://www.google.com/maps/place/Santa+Maria+Del+Mar,The famous Catedral de Barcelona and Santa Maria Del Mar were just a 5 minute walk from the hotel!,Catalonia,church,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-03
