place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
1908 Lisboa Hotel,Portugal,https://www.google.com/maps/place/1908+Lisboa+Hotel,"1908 Lisboa Hotel gives guests a local experience in one of Lisbon’s most up-and-coming neighborhoods. It gains its name from being housed in a completely renovated 1908 award-winning building.

A four-star hotel at a budget price, this elegant space is a perfect base and home to an ever-changing art gallery.",Lisbon District,Hotel,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,2,2026-04-08
A Cevicheria,Portugal,"https://www.google.com/maps/place/A+Cevicheria/@38.7071352,-9.1408157,15z/data=!4m5!3m4!1s0x0:0x6d7146c5e2c3b3c4!8m2!3d38.7071352!4d-9.1408157","A Cevicheria is fun, and it feels different. There’s a window at the front where those waiting for a table can order drinks from the street. The servers are likely to be dancing to the music in the background. And the food, specifically the puro ceviche served on top of sweet potato and leche de tigre, will leave you speechless.",Lisbon,Restaurant,The Blonde Abroad,4,6,6,4,4,8,10,8,9,6,1,2026-04-08
Albufeira,Portugal,https://www.google.com/maps/place/Albufeira,hubs of the Algarve,Algarve,city,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Alcantara,Portugal,"https://www.google.com/maps/place/Alcantara,+Lisbon,+Portugal",This trendy waterfront district is famous for its hopping nightlights and iconic views of the river.,Lisbon Region,Neighborhood,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Alentejo,Portugal,https://www.google.com/maps/place/Alentejo,"A region in southern Portugal known for its countryside meals, including açorda.

A region in southern Portugal where açorda is a typical countryside meal.",Southern Portugal,Region,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,2,2026-04-08
Alfama,Portugal,"https://www.google.com/maps/place/Alfama,+Lisbon,+Portugal","Perched atop Lisbon’s highest hill, this was one of the few areas spared by the earthquake of 1755 and is home to some of the city’s most historic sites.",Lisbon Region,Neighborhood,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Algarve,Portugal,https://www.google.com/maps/place/Algarve,"picture-perfect destination for hiking amongst the dramatic cliffs overlooking the Atlantic and living the good life on the golden beaches

A region in southern Portugal where cozido is often served with mint and potato.

The coast, particularly Nazaré and all along Algarve, is full of locals and visitors alike, as many people are looking to soak up some time in the warm turquoise water",southern Portugal,region,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,3,2026-04-08
Antiqvvm,Portugal,https://www.google.com/maps/place/Antiqvvm,"Antiqvvm is a fine dining restaurant serving Mediterranean cuisine using premium seasonal produce, with multi-course tasting menus and a la carte options.",Porto,Restaurant,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Aveiro,Portugal,"https://www.google.com/maps/place/Aveiro,+Portugal","Aveiro, Portugal, otherwise known as the “Venice of Portugal” is an adorable little fishing town about 40 minutes south of Porto. It can be described as overwhelmingly charming and picturesque.

dream destination for photographers, mosaic of gondolas and art nouveau building fill the Ria de Aveiro with color

A city in northern Portugal.",Northern Portugal,city,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,3,2026-04-08
Avenida da Liberdade,Portugal,https://www.google.com/maps/place/Avenida+da+Liberdade,"Valverde Hotel is located on Avenida da Liberdade, Lisbon’s most exclusive street.",Lisbon District,Street,The Blonde Abroad,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
