place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Kuang Si Falls,Laos,https://www.google.com/maps/place/Kuang+Si+Falls,"The turquoise waterfall known as Kuang Si Falls has quickly become one of the most popular places to see in Laos. These wonderful Laos waterfalls have a series of cascades and pools that are perfect for swimming in. It’s almost like a natural waterpark in the jungle! The pictures on this page show the actual color of the waterfalls without any enhancement. It’s incredibly blue if you visit in the right season. Before you reach the main waterfall from the famous Instagram photos, you have to walk up an easy dirt trail along a turquoise stream, with dozens of smaller waterfalls and swimming holes. The first few pools are great for swimming! There’s a changing room so you can switch into your bathing suit, and lots of other people were doing this. The water was a bit chilly, but not unbearable. Two other cool photo spots along the way: a huge banyan tree, and a unique cascade near the end that looks like flat stacked layers of water. At the end of the trail is the main 60 meter (200 foot) waterfall. You can’t swim in this one, but it’s easy to take photos from the bridge. The colors are amazing! If you have time, you can hike above the main cascade to see even more Laos waterfalls.

Kuang Si Falls, a turquoise waterfall in Luang Prabang, Laos, has quickly become one of the most popular places to see in Laos.",Luang Prabang,waterfall,The World Travel Guy,5,6,6,8,6,2,2,6,2,6,2,2026-04-08
Laos Bear Sanctuary,Laos,https://www.google.com/maps/place/Laos+Bear+Sanctuary,"Before the entrance to the falls, there’s a small sanctuary for rescued Asian black bears (sun/moon bears). You can watch the bears playing here and it’s already included in your entry ticket for the falls. These black bears are rescued from bile farms and protected from the illegal wildlife trade in Southeast Asia.",Luang Prabang,sanctuary,The World Travel Guy,0,6,4,9,8,3,1,5,6,8,1,2026-04-08
Luang Prabang,Laos,"https://www.google.com/maps/place/Luang+Prabang,+Laos","Luang Prabang, a city in northern Laos, has a lot of interesting things to see and do.",North,City,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Mekong riverside,Laos,https://www.google.com/maps/place/Mekong+riverside,The Silichith Guest House is located near the Mekong riverside.,Luang Prabang,attraction,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Night Market,Laos,https://www.google.com/maps/place/Night+Market,The Silichith Guest House is located near the Night Market.,Luang Prabang,market,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Patuxai Victory Monument,Laos,https://www.google.com/maps/place/Patuxai+Victory+Monument,"The design of Patuxai Monument is really similar to the famous Arc de Triomphe in Paris, but it has an obvious local flair to it too, like the Buddhist figures and stupa shaped points on top. At the top of the monument, you can even get a good 360 degree view of the city of Vientiane. There's no fee to walk around at the monument. It's free to visit. If you go to the top of the monument you have to pay 3,000 kip (less than one US Dollar).

Patuxai Victory Monument, one of the most famous monuments in Vientiane, Laos, is dedicated to the Laotian fight for independence.",Vientiane,monument,The World Travel Guy,3,4,7,4,4,7,2,6,4,7,2,2026-04-08
Royal Palace,Laos,https://www.google.com/maps/place/Royal+Palace,The Silichith Guest House is located near the Royal Palace.,Luang Prabang,palace,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Silichith Guest House,Laos,https://www.google.com/maps/place/Silichith+Guest+House,"We stayed at Silichith Guest House in Luang Prabang for $19 USD per night and got a clean double room with cold A/C, WiFi, and a hot shower. Best of all, it's in a perfect location near the Mekong riverside, Night Market, Royal Palace, and a bunch of good local restaurants.",Luang Prabang,hotel,The World Travel Guy,6,5,8,5,3,6,6,10,6,7,1,2026-04-08
Vang Vieng,Laos,"https://www.google.com/maps/place/Vang+Vieng,+Laos","Vang Vieng, a town in central Laos, has a lot of interesting things to see and do, and can be reached by bus from Vientiane.",Central,Town,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
Vayakorn Inn,Laos,https://www.google.com/maps/place/Vayakorn+Inn,"I stayed at Vayakorn Inn in Vientiane for $29 USD per night. For this price I got a clean twin room with cold A/C and a comfy bed. There were some great restaurants just 2 minutes from the hotel, and I was able to walk to the Patuxai Victory Monument in about 20 minutes.",Vientiane,hotel,The World Travel Guy,4,4,8,6,4,6,6,10,5,6,1,2026-04-08
Vientiane,Laos,"https://www.google.com/maps/place/Vientiane,+Laos","Vientiane, the capital of Laos, has a lot of interesting things to see and do, including the Patuxai Victory Monument.",Central,City,The World Travel Guy,5,5,10,5,5,5,5,5,5,5,1,2026-04-08
