place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Buddha Lodge,Nepal,https://goo.gl/maps/PfHdMMK3N692,"Trek Time: 6 hours
Difficulty: Moderate with a steep climb towards Gorakshep and an easy trail to Everest Base Camp and return.
Where to Stay: Buddha Lodge - 500 NPR/Night (Twin Room).

Gorakshep - Buddha Lodge - 500 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Everest Lodge Restaurant and Bar,Nepal,https://goo.gl/maps/fTcFPRK7A2K2,"Trek Time: 6 hours
Difficulty: Easy. A simple walk with a lot more downs than ups.
Where to Stay: Everest Lodge Restaurant and Bar - 400 NPR/Night (Twin Room).

Lukla - Everest Lodge Restaurant and Bar - 400 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Fitzroy Inn,Nepal,https://goo.gl/maps/wWJf8hPHeuj,"Trek Time: 8 hours
Difficulty: Hard. There is a steep climb to Chola Pass, walking on the glacier, and lots of annoying ups and downs to Gokyo.
Where to Stay: Fitzroy Inn - 150 NPR/Night (Twin Room).

Trek Time: 3 hours
Difficulty: Moderate to Hard. Hard climb to Gokyo Ri and then rest for the rest of the day.
Where to Stay: Fitzroy Inn - 150 NPR/Night (Twin Room).

Gokyo - Fitzroy Inn - 150 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,3,2026-04-03
Himalayan Lodge,Nepal,https://goo.gl/maps/k1WKfgSZQLk,"Trek Time: 4 hours
Difficulty: Easy. All downhill from Gokyo to Dole.
Where to Stay: Himalayan Lodge - 300 NPR/Night (Twin Room).

Dole - Himalayan Lodge - 300 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Khumbu Lodge,Nepal,https://goo.gl/maps/X22ntL3TXb32,"Trek Time: 3 - 4 hours
Difficulty: Easy start and then it's all uphill for 2 hours. Luckily, Namche Bazaar isn't too far from Monjo.
Where to Stay: Khumbu Lodge - 300 NPR/Night (Twin Room).

Trek Time: 6 hours
Difficulty: Easy stroll on a mostly flat trail
Where to Stay: Khumbu Lodge - 300 NPR/Night (Twin Room).

Trek Time: 5 hours
Difficulty: Moderate. I really want to make it easy for you, I really do, but the truth is, there is one steep climb before you reach Namche Bazaar.
Where to Stay: Khumbu Lodge - 300 NPR/Night (Twin Room).",,,,4,5,8,6,6,4,4,6,5,6,4,2026-04-03
Monjo Guesthouse,Nepal,https://goo.gl/maps/wHnjLCkZ3z82,"Trek Time: 5 hours
Difficulty: Easy with a few ups and downs.
Where to Stay: Monjo Guesthouse - 200 NPR/Night (Twin Room).

Monjo - Monjo Guesthouse - 200 NPR/Night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Mountain Home Zonglha,Nepal,https://goo.gl/maps/zj5W2NhGqoR2,"Trek Time: 7 hours
Difficulty: Hard and Long (That's what she said 🤣)
Where to Stay: Mountain Home Zonglha - 500 NPR/Night (Twin Room).

Dzongla - Mountain Home Zonglha - 500 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Oxygen Altitude,Nepal,https://goo.gl/maps/hR9EaAgja3n,"Trek Time: 4 hours
Difficulty: Moderate to Hard, due to the altitude and the steep climb before Lobuche.
Where to Stay: Oxygen Altitude - 700 NPR/Night (Twin Room).

Lobuche - Oxygen Altitude - 700 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
Snowlion Lodge,Nepal,https://goo.gl/maps/5ujsn1b4mTR2,"Trek Time: 4 hours
Difficulty: Easy. One of the easiest and shortest days, but you will start to feel the altitude from here on out.
Where to Stay: Snowlion Lodge - 500 NPR/Night (Twin Room).

Trek Time: 0 - 8 hours
Difficulty: Depends on what you want to do. Pheriche is a pretty easy hike, whereas Ama Dablam base camp is a full-day hike with lots of ups and downs.
Where to Stay: Snowlion Lodge - 500 NPR/Night (Twin Room).

Dingboche - Snowlion Lodge - 500 NPR/Night (Twin Room)",,,,4,5,8,6,6,4,3,6,6,7,3,2026-04-03
Tash Delek,Nepal,https://goo.gl/maps/4pYZezwuavG2,"Trek Time: 5 hours
Difficulty: Easy to Moderate. You go down at first, but then it's all up from there.
Where to Stay: Tash Delek - 500 NPR/Night (Twin Room).

Tengboche - Tash Delek - 500 NPR per night (Twin Room)",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-03
