place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
(Los Cahorros de Monachil),France,https://goo.gl/maps/p1SRyLxuZKi6SwJz5,"On your second day, take a local bus to Monachil and go on a waterfall hike  through the mountains and caves of Granada. You will hike to a few waterfalls and across suspension bridges, which are fun and easy micro-adventures you can do from Granada.",,,,3,6,2,10,10,2,0,7,2,6,1,2026-04-09
Akmens Tilts stone bridge,France,https://goo.gl/maps/RHYVpvsEK9q,Don't forget to walk along the  and see the city from the opposite side of the Daugava River. It's quite a sight to see.,,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-09
Altes Rathaus,France,https://goo.gl/maps/ndwwhLGrjM82,"You can spend the rest of the day exploring the  area, a historic old town of Leipzig, where you will be able to find interesting architecture and monuments along the walking path.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-09
Altstadt (The Old Town),France,https://goo.gl/maps/vUQkCgHafa8dafYL6,"Zurich, which is both beautiful and expensive, is the largest city in Switzerland. Places like the  are great places to get a glimpse of what Zurich was like in medieval times.",,,,5,5,10,5,5,5,5,5,5,5,1,2026-04-09
Arc de Triomphe,France,https://goo.gl/maps/CqC9s8E62sUVEqm39,"If you want to get the best view of Paris from above, don't go up the Eiffel Tower! The cityscape of Paris is nothing without the iconic Eiffel Tower, and how would you see it if you are on top of it, right? For the best view of the city, I highly recommend you go up the  instead.

First, if you want to get a nice view of Paris, do not go up the Eiffel Tower. Go up the  instead. It's less crowded, there's no need to line up, and best of all, you get a view of Paris and the Eiffel Tower from there.",,,,2,2,3,6,6,6,0,7,4,7,2,2026-04-09
Arles,France,https://goo.gl/maps/UJvKD4U2E5EHkFs47,"Last but not least, if you have a day to spare in Avignon, you have to visit , a historic city known for its rich history that dates all the way back to Roman times.

You can also go on a day trip and explore the surrounding towns like , home to the famous  Amphitheatre; go on a hike at the Fontaine de Vaucluse; or shop at the L'Isle-sur-la-Sorgue Sunday market.",,,,5,5,10,5,5,5,5,5,5,5,2,2026-04-09
Arles Obelisk,France,https://goo.gl/maps/ogs8KzbVpDowxXss7,"There are several other Roman heritage sites you can check out in Arles, like the , an ancient obelisk dating back to the 1st AD, the Church of St. Trophime, a masterpiece of Romanesque architecture, and the Alyscamps, a Roman necropolis.",,,,2,3,2,1,2,10,0,3,1,6,1,2026-04-09
Auschwitz,France,https://goo.gl/maps/FC7AmAaFWyw,"The next two days, you can make day trips to  and the Wieliczka Salt Mine, respectively, to learn more about the history of Krakow. Be sure to book these tickets in advance, especially during the peak season.",,,,0,1,4,2,6,7,0,2,3,7,1,2026-04-09
Avenue Daumesnil street,France,https://goo.gl/maps/mwBZB57fecGCquVP6,"Getting to the park is a little challenging as you will first have to find the stairs to go up the elevated park. First of all, take the metro to Paris Gare de Lyon station and walk east toward . Along this road, you should find a set of stairs going up the park every few blocks. One of the stairs is shown in the Google Street View below.",,,,1,2,2,7,6,2,0,5,3,8,1,2026-04-09
Avignon Cathedral,France,https://goo.gl/maps/KJcgQ4EZ4B5gWhwr5,"Also, don't forget to check out  located right next to the Palais des Papes. The cathedral was built in the 14th century and features a beautiful gilded statue of the Virgin Mary, as well as the tombs of the Avignon Popes inside.",,,,3,3,0,0,0,9,0,4,3,8,1,2026-04-09
Avignon Central Station,France,https://goo.gl/maps/os142MUMxanVgWxH8,"To get from Avignon to L'Isle-sur-la-Sorgue, you can either take the bus or the train from  and you should be there in about 50 minutes by bus or 30 minutes by train. They both run frequently every day and you can book the bus/train ticket here.

To get from Avignon to Arles, you can catch the train from  and you should be there in less than an hour. The train runs rather often but just in case, you can book the train ticket online here.

Everything is within walking distance in Avignon if you decide to stay in the city center. If you want to visit one of the many nearby towns like Arles and Isle-sur-la-Sorgue, you can catch a bus or a train from  to pretty much anywhere in the region, which is very convenient. You can book the train here.",,,,2,2,7,2,2,2,2,3,5,8,3,2026-04-09
Basilique Saint-Michel,France,https://goo.gl/maps/j9ADfSzB4UBF3CqT8,"On Tuesday, Thursday, Friday, and Sunday, the street in front of the stunning  is converted into Les Puces de Saint Michel, a vintage market where you can stroll around and acquire some truly unique items as souvenirs.",,,,3,6,4,0,2,9,8,7,8,7,1,2026-04-09
